Products,,,,,,,,
,,,,,,,,
,Product ID,Description,Retail,Size,Supplier,Stock Count,Reorder Point,Reorder Qty
,CJ248-LBE143-84DG,Labret E 4mm DG,$15.00,14g 3/8,Metal Mafia,2,0,0
,CJ250-LBE143-84TZ,Labret E 4mm TZ,$15.00,14g 3/8,Metal Mafia,2,0,0
,CJ251-LBE143-84BK,Labret E 4mm BK,$15.00,14g 3/8,Metal Mafia,2,0,0
,CJ252-LBE143-84RD,Labret E 4mm RD,$15.00,14g 3/8,Metal Mafia,2,0,0
,CJ253-LBE143-84SP,Labret E 4mm SP,$15.00,14g 3/8,Metal Mafia,2,0,0
,CJ254-LBE143-84LG,Labret E 4mm LG,$15.00,14g 3/8,Metal Mafia,2,0,0
,CJ255-LBE163-83AB,Labret E 3mm AB,$15.00,16G 3/8,Metal Mafia,2,0,0
,CJ257-LBE163-83PK,Labret E 3mm PK,$15.00,16G 3/8,Metal Mafia,2,0,0
,CJ258-LBE163-83AQ,Labret E 3mm AQ,$15.00,16G 3/8,Metal Mafia,2,0,0
,CJ259-LBE163-83BZ,Labret E 3mm BZ,$15.00,16G 3/8,Metal Mafia,2,0,0
,CJ261-LBE163-83DG,Labret E 3mm DG,$15.00,16G 3/8,Metal Mafia,2,0,0
,CJ262-LBE163-83TZ,Labret E 3mm TZ,$15.00,16G 3/8,Metal Mafia,2,0,0
,CJ263-LBE163-83BK,Labret E 3mm BK,$15.00,16G 3/8,Metal Mafia,2,0,0
,CJ264-LBE163-8RD,Labret E 3mm RD,$15.00,16G 3/8,Metal Mafia,2,0,0
,CJ265-LBE163-83SP,Labret E 3mm SP,$15.00,16g 3/8,Metal Mafia,2,0,0
,CJ266-LBE163-83LG,Labret E 3mm LG,$15.00,16G 3/8,Metal Mafia,2,0,0
,CJ267-CVED163-83AB,Curved Barbell 3mm AB,$15.00,16G 3/8,Metal Mafia,2,0,0
,CJ269-CVED163-83PK,Curved Barbell 3mm PK,$15.00,16g 3/8,Metal Mafia,2,0,0
,CJ270-CVED163-83AQ,Curved Barbell 3mm AQ,$15.00,16g 3/8,Metal Mafia,2,0,0
,CJ271-CVED163-83BZ,Curved Barbell 3mm BZ,$15.00,16g 3/8,Metal Mafia,2,0,0
,CJ272-CVED163-83DG,Curved Barbell 3mm DG,$15.00,16g 3/8,Metal Mafia,2,0,0
,CJ273-CVED163-83TZ,Curved Barbell 3mm TZ,$15.00,16g 3/8,Metal Mafia,2,0,0
,CJ274-CVED163-83BK,Curved Barbell 3mm BK,$15.00,16g 3/8,Metal Mafia,2,0,0
,CJ275-CVED163-83RD,Curved Barbell 3mm RD,$15.00,16g 3/8,Metal Mafia,2,0,0
,CJ276-CVED163-83SP,Curved Barbell 3mm SP,$15.00,16g 3/8,Metal Mafia,2,0,0
,CJ277-CVED163-83LG,Curved Barbell 3mm LG,$15.00,16g 3/8,Metal Mafia,2,0,0
,CJ278-CVED165-163AB,Curved Barbell 3mm AB,$15.00,16g 5/16,Metal Mafia,2,0,0
,CJ280-CVED165-163PK,Curved Barbell 3mm PK,$15.00,16g 5/16,Metal Mafia,2,0,0
,CJ281-CVED165-163AQ,Curved Barbell 3mm AQ,$15.00,16g 5/16,Metal Mafia,2,0,0
,CJ282-CVED165-163BZ,Curved Barbell 3mm BZ,$15.00,16g 5/16,Metal Mafia,2,0,0
,CJ283-CVED165-163DG,Curved Barbell 3mm DG,$15.00,16g 5/16,Metal Mafia,2,0,0
,CJ284-CVED165-163TZ,Curved Barbell 3mm TZ,$15.00,16g 5/16,Metal Mafia,2,0,0
,CJ285-CVED165-163BK,Curved Barbell 3mm BK,$15.00,16g 5/16,Metal Mafia,2,0,0
,CJ286-CVED165-163RD,Curved Barbell 3mm RD,$15.00,16g 5/16,Metal Mafia,2,0,0
,CJ287-CVED165-163SP,Curved Barbell 3mm SP,$15.00,16g 5/16,Metal Mafia,2,0,0
,CJ288-CVED165-163LG,Curved Barbell 3mm LG,$15.00,16g 5/16,Metal Mafia,2,0,0
,CJ289-BNED143-858,Navel 5x8mm E AB,$25.00,14G 3/8,Metal Mafia,2,0,0
,CJ290-BNED143-858,Naval 5x8mm E PK,$25.00,14G 3/8,Metal Mafia,2,0,0
,CJ291-BNED143-858,Navel 5x8mm E AQ,$15.00,14G 3/8,Metal Mafia,2,0,0
,CJ292-BNED143-858,Naval 5x8mm E BZ,$25.00,14G 3/8,Metal Mafia,2,0,0
,CJ293-BNED143-858,Naval 5x8mm E BZ,$25.00,14G 3/8,Metal Mafia,2,0,0
,CJ294-BNED143-858,Naval 5x8mm E DG,$15.00,14G 3/8,Metal Mafia,2,0,0
,CJ295-BNED143-858,Naval 5x8mm E TZ,$25.00,14G 3/8,Metal Mafia,2,0,0
,CJ296-BNED143-858,Naval 5x8mm E BK,$25.00,14G 3/8,Metal Mafia,2,0,0
,CJ297-BNED143-858,Naval 5x8mm E RD,$25.00,14G 3/8,Metal Mafia,2,0,0
,CJ298-BNED143-858,Naval 5x8mm E SP,$25.00,14g 3/8,Metal Mafia,2,0,0
,CJ299-BNED143-858,Naval 5x8mm E LG,$25.00,14G 3/8,Metal Mafia,2,0,0
,CJ300-C141-25,Captive Bead Ring 5mm AB,$15.00,14G 1/2,Metal Mafia,2,0,0
,CJ301-C141-25,Captive Bead Ring 5mm PK,$15.00,14G 1/2,Metal Mafia,2,0,0
,CJ302-C141-25,Captive Bead Ring 5mm AQ,$15.00,14G 1/2,Metal Mafia,2,0,0
,CJ303-C141-25,Captive Bead Ring 5mm BZ,$15.00,14G 1/2,Metal Mafia,2,0,0
,CJ304-C141-25,Captive Bead Ring 5mm DG,$15.00,14G 1/2,Metal Mafia,1,0,0
,CJ305-C141-25,Captive Bead Ring 5mm TZ,$15.00,14G 1/2,Metal Mafia,2,0,0
,CJ306-C141-25,Captive Bead Ring 5mm BK,$15.00,14G 1/2,Metal Mafia,2,0,0
,CJ307-C141-25,Captive Bead Ring 5mm RD,$15.00,14G 1/2,Metal Mafia,2,0,0
,CJ308-C141-25,Captive Bead Ring 5mm SP,$15.00,14G 1/2,Metal Mafia,2,0,0
,CJ309-C141-25,Captive Bead Ring 5mm LG,$15.00,14G 1/2,Metal Mafia,2,0,0
,CJ310-C163-53,Captive Bead Ring 3mm AB,$15.00,16G 3/8,Metal Mafia,2,0,0
,CJ311-C163-83,Captive Bead Ring 3mm PK,$15.00,16G 3/8,Metal Mafia,2,0,0
,CJ312-C163-83,Captive Bead Ring 3mm AB,$15.00,16G 3/8,Metal Mafia,2,0,0
,CJ313-C163-83,Captive Bead Ring 3mm AQ,$15.00,16G 3/8,Metal Mafia,2,0,0
,CJ314-C163-83,Captive Bead Ring 3mm BZ,$15.00,16G 3/8,Metal Mafia,2,0,0
,CJ315-C163-83,Captive Bead Ring 3mm DG,$15.00,16G 3/8,Metal Mafia,2,0,0
,CJ316-C163-83,Captive Bead Ring 3mm DG??,$15.00,16G 3/8,Metal Mafia,2,0,0
,CJ317-C163-83,Captive Bead Ring 3mm TZ,$15.00,16G 3/8,Metal Mafia,2,0,0
,CJ318-C163-83,Captive Bead Ring 3mm BK,$15.00,16G 3/8,Metal Mafia,2,0,0
,CJ319-C163-83,Captive Bead Ring 3mm RD,$15.00,16G 3/8,Metal Mafia,1,0,0
,CJ320-C163-83,Captive Bead Ring 3mm SP,$15.00,16G 3/8,Metal Mafia,2,0,0
,CJ321-C163-83,Captive Bead Ring 3mm LG,$15.00,16G 3/8,Metal Mafia,2,0,0
,CJ321-LBE165-163RD,Labret E 3mm RD,$15.00,16g 5/16,Metal Mafia,2,0,0
