Products,,,,,,,,
,,,,,,,,
,Product ID,Description,Retail,Size,Supplier,Stock Count,Reorder Point,Reorder Qty
,CJ035-BKNH185-16,Nose Hoop Black,$20.00,18g 5/16,Metal Mafia,6,0,0
,CJ036-BKSMR163-8,Seamless Ring Black,$20.00,16g 3/8,Metal Mafia,4,0,0
,CJ037-BKSMR165-16,Seamless Ring Black,$20.00,16g 5/16,Metal Mafia,6,0,0
,CJ038-BKSMR183-8,Seamless Ring Black,$20.00,18g 3/8,Metal Mafia,6,0,0
,CJ039-BKSMR185-16,Seamless Ring Black,$20.00,18g 5/16,Metal Mafia,6,0,0
,CJ040-BNAFN1,Navel Barbell w/ Dangle Fan,$30.00,14g 3/8,Metal Mafia,1,0,0
,CJ041-BNAMC12CL,Navel Prong Butterfly CZ,$30.00,14 7/16,Metal Mafia,1,0,0
,CJ042-BNAMC12PK,Navel Prong Butterfly Pink,$30.00,14g 1/4,Metal Mafia,0,0,0
,CJ043-BNAMC7CL,Navel 14g 3/8 Flower CZ,$30.00,14g 3/8,Metal Mafia,0,0,0
,CJ044-BNAMC9AQ,Navel Prong Octagon 5mm Aqua,$30.00,14 7/16,Metal Mafia,2,0,0
,CJ045-BNAMC9PK,Navel Prong Octagon 5mm Pink,$30.00,14g 7/16,Metal Mafia,2,0,0
,CJ046-BNAMC9CL,Navel Prong Octagon 5mm Clear,$30.00,14g 7/16,Metal Mafia,1,0,0
,CJ047-BNED143-858AB,Navel E Dbl Gem 5/8mm,$25.00,14g 5/8mm,Metal Mafia,6,0,0
,CJ048-BNED143-858AQ,Naval E 5x8mm,$25.00,14g 5/8mm,Metal Mafia,6,0,0
,CJ049-BNED143-88CL,Navel E Clear 5x8mm,$25.00,14g 3/8,Metal Mafia,6,0,0
,CJ050-BRE141-254,Industrial E,$15.00,14g 1-1/2,Metal Mafia,11,0,0
,CJ051-BRE1411-45,Industrial  5mm,$15.00,14g 1-1/4,Metal Mafia,12,0,0
,CJ052-BRE1415,Straight Barbell E,$15.00,14g 1,Metal Mafia,12,0,0
